"Tráfico";"Transporte";"conduc";"vehíc";"trafic";"acci";;;;;;;;;;;;;
"Demografía";"Población";"demogr";"poblaci";"censo";"censal";"vida";"defun";"separa";"divor";"suici";"migra";"fecun";"discap";"resid";"morta";"hogar";"nombre";
"I+D";"Ciencia y Tecnología";"investig";"TIC";;;;;;;;;;;;;;;
"Industria";;"industr";;;;;;;;;;;;;;;;
"Salud";"Sanidad";"salud";"sanida";"sanita";"enferm";"sida";;;;;;;;;;;;
"Bibliotecas";"Educación";"biblio";;;;;;;;;;;;;;;;
"Residuos";"Medio Ambiente";"residu";;;;;;;;;;;;;;;;
"Enseñanza";"Educación";"enseñanza";"educa";"enseña";"aprend";"beca";;;;;;;;;;;;
"Tecnología";"Ciencia y Tecnología";"tecnolo";"ciencia";"cientif";"TIC";;;;;;;;;;;;;
"Turismo";;"ocupa";"apart";"turís";"turis";"hotel";"alber";"vacaci";"viaje";;;;;;;;;
"Climatología";"Medio Ambiente";"clima";;;;;;;;;;;;;;;;
"Medio Ambiente";;"sosten";"entorn";"diversi";"boidiv";"ambient";;;;;;;;;;;;
"Economía";"Actividad";"econo";"producción";"tipos";"impuest";"negoc";"presup";"hipote";"concur";"monet";"financ";"contab";"interés";"tipos";"venta";"tribu";"renta";"propie"
"Trabajo";"Economía";"trabajo";"pension";"paro";"labor";"mano";"salar";"activa";;;;;;;"´";;;
"Construcción";"Industria";"construc";;;;;;;;;;;;;;;;
"Energía";"Industria";"energ";;;;;;;;;;;;;;;;
"Pesca";;"pesc";"silvi";"pesq";" agricultura ganadería y pesca";;;;;;;;;;;;;
"Cine";"Cultura";"cine";;;;;;;;;;;;;;;;
"Comercio";"Economía";"comerc";;;;;;;;;;;;;;;;
"Empresa";;"pagos";"quiebra";"mercantil";"empres";;;;;;;;;;;;;
"Universidad";"Educación";"univers";;;;;;;;;;;;;;;;
"Auga";"Medio Ambiente";"auga";;;;;;;;;;;;;;;;
"deporte";;"deport";;;;;;;;;;;;;;;;
"Tratamiento";;"tratat";;;;;;;;;;;;;;;;
"Municipio";"Administración";"munic";;;;;;;;;;;;;;;;
"Ferrocarril";"Transporte";"ferro";;;;;;;;;;;;;;;;
"Audiovisual";"Cultura";"audio";;;;;;;;;;;;;;;;
"Emigración";"Demografía";"emig";;;;;;;;;;;;;;;;
"Vivienda";"Economía";"vivi";"arrend";;;;;;;;;;;;;;;
"Familia";"Población";"famil";"adopci";"infancia";"infantil";;;;;;;;;;;;;
"Justicia";;"judi";"justi";"juzg";;;;;;;;;;;;;;
"Agricultura";"Agricultura ganadería y pesca";"agri";"agro";"agrí";"agra";;;;;;;;;;;;;
"Sociología";"Social";;;;;;;;;;;;;;;;;
"Aviación";"Transporte";"aére";"aviac";;;;;;;;;;;;;;;
"Seguridad";;"segur";;;;;;;;;;;;;;;;
"Ganadería";"Agricultura ganadería y pesca";"ganad";;;;;;;;;;;;;;;;
"Mercancía";"Transporte";"mercanc";;;;;;;;;;;;;;;;
"Carreteras";"Infraestructuras";"carret";;;;;;;;;;;;;;;;
"Transporte";;"transpor";;;;;;;;;;;;;;;;
"Tubería";"Infraestructuras";"tuber";;;;;;;;;;;;;;;;
"Informática";;"informát";;;;;;;;;;;;;;;;
"Política";;"polit";"polít";"electo";"elecc";;;;;;;;;;;;;
"Sismología";"Medio Ambiente";"sismo";;;;;;;;;;;;;;;;
"Sexo";"Salud";"sexu";"sexo";;;;;;;;;;;;;;;
"IPC";"Economía";"precio";;;;;;;;;;;;;;;;
"Nomenclátor";;"nomencl";;;;;;;;;;;;;;;;
"Territorio";;"territ";;;;;;;;;;;;;;;;
"Inmigración";"Demografía";"inmigr";;;;;;;;;;;;;;;;
"Seguridad";"Justicia";"condena";"reclus";;;;;;;;;;;;;;;
"Juegos";;"juego";;;;;;;;;;;;;;;;
"Administración";;"administr";;;;;;;;;;;;;;;;
"Comunicación";;"comunica";;;;;;;;;;;;;;;;
"Museos";"Cultura";"museo";;;;;;;;;;;;;;;;
"Patrimonio";"Cultura";"patrim";;;;;;;;;;;;;;;;
"Servicios";;"servici";;;;;;;;;;;;;;;;
"Cultura";;"cultur";"ocio";"libr";;;;;;;;;;;;;;
"Forestal";"Medio Ambiente";"forest";;;;;;;;;;;;;;;;
"Precio";"Economía";"precio";;;;;;;;;;;;;;;;
