A Coruña;coruñ;;
Guipúzcoa;guip;;
Cantabria;cantabr;cantábr;
León;leo;leó;
Burgos;burg;;
Palencia;palen;;
Vizcaya;vizca;;
Pontevedra;pontev;;
Zaragoza;zaragoz;;
Ourense;ouren;orens;
La Rioja;rioja;;
Girona;giron;geron;
Navarra;navarr;;
Valladolid;vallad;pucel;
Zamora;zamor;;
Barcelona;barce;barna;
Soria;soria;;
Lleida;lleid;lerid;lérid
Segovia;segov;;
Tarragona;tarrag;tarrac;
Salamanca;salama;salman;
Ávila;ávil;;
Madrid;madri;;
Castellón;castell;;
Guadalajara;guadala;;
Cáceres;cácer;cacere;
Toledo;toled;;
Illes Balears;balear;;
Valencia;valenc;;
Ciudad Real;real;ciuda;
Badajoz;badajo;pace;
Albacete;albace;;
Murcia;murcia;;
Córdoba;cordob;córdob;
Jaén;jaen;jaén;
Huelva;huelva;onub;
Sevilla;sevill;;
Granada;granad;;
Almería;almer;;
Málaga;málag;malag;
Las Palmas;palma;;
Ceuta;ceut;;
Santa Cruz de Tenerife;teneri;tiner;
Melilla;melil;;
Lugo;luce;lugo;lugu
Asturias;astur;;
Álava;alav;álav;
Huesca;oscen;huesca;
Teruel;teruel;turol;
Cuenca;cuenca;conq;
Alicante;alican;;
Cádiz;cádiz;gadit;
